cod-ga,program,subtitle,type_course,name_type_course,state,start,end,duration,hours,price,cand_fee,format,ceus,idioma,languaje,dscto_header,dscto_footer,end_dscto,hubs,round_1,round_2,round_3,price_r1,price_r2,price_r2,call,brochure,url_pay,img_home,url_web,url_landing,cod_pay,holiday
CAO,Chief Data Analytics Officer,,cxo,Blended Professional Certificate,PP,25/4/2023,, 12 months ,8-10 hours of effort per week,"US$28,000 *",US$300," Online, In-person and live virtual",40.5,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,5/4/2023,all_prog best_prog new_prog       ,21/3/2023,11/4/2023,25/4/2023,US$300,US$400,US$500,https://meetings.hubspot.com/marketing-ga/mpe-cao-eng,https://3391024.fs1.hubspotusercontent-na1.net/hubfs/3391024/MIT/Brochure%20-%20English/MITPE-CXO%20-%20CTO%20ENG.pdf,https://professionalprogramsmit.com/en/blended-professional-certificate-chief-analytics-officer-cao-eng-admi.html,/images/programs/cxo/cao/home-cxo-chief-analytics-officer-cao-768x339.webp,-,https://professionalprogramsmit.com/en/blended-professional-certificate-chief-analytics-officer-cao-eng.html,-,
CDO,Chief Digital Officer,,cxo,Blended Professional Certificate,A,6/7/2023,,12 months,8-10 hours of effort per week,"US$28,000 *",US$300," Online, In-person and live virtual",40.5,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,25/4/2023,all_prog best_prog   digi_tra   lead_com  ,22/5/2023,19/6/2023,6/7/2023,US$300,US$400,US$500,https://meetings.hubspot.com/marketing-ga/mpe-cxo-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/8035e9ba-db95-44c9-8da8-5afa8b57f7fc,https://professionalprogramsmit.com/en/blended-professional-certificate-chief-digital-officer-cdo-eng-admi.html,/images/programs/cxo/cdo/home-cxo-chief-digital-officer-cdo-768x339.webp,/blended-professional-certificate-in-chief-digital-officer/,https://professionalprogramsmit.com/en/blended-professional-certificate-chief-digital-officer-cdo-eng.html,-,
CPO,Chief Product Officer,,cxo,Blended Professional Certificate,A,6/7/2023,,12 months ,8-10 hours of effort per week,"US$28,000 *",US$300," Online, In-person and live virtual",40.5,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,25/042023,all_prog best_prog  des_man    lead_com  ,22/5/2023,19/6/2023,6/7/2023,US$300,US$400,US$500,https://meetings.hubspot.com/marketing-ga/mpe-cxo-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/d5288fa6-b020-4b8b-94c0-31d0513f37d7,https://professionalprogramsmit.com/en/blended-professional-certificate-chief-product-officer-cpo-eng-admi.html,/images/programs/cxo/cpo/home-cxo-chief-product-officer-cpo-768x339.webp,/blended-professional-certificate-chief-product-officer/,https://professionalprogramsmit.com/en/blended-professional-certificate-chief-product-officer-cpo-eng.html,-,
CSO,Chief Sustainability Officer,,cxo,Blended Professional Certificate,A,25/4/2023,,12 months,8-10 hours of effort per week,"US$28,000 *",US$300," Online, In-person and live virtual",40.5,English,en-US,*Last days to sign up!,Last days to enroll,11/4/2023,all_prog best_prog    ene_sus  lead_com  ,21/3/2023,11/4/2023,25/4/2023,US$300,US$400,US$500,https://meetings.hubspot.com/marketing-ga/mpe-cxo-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/0b3158a8-9d93-4fc7-a020-041d31f4e875,https://professionalprogramsmit.com/en/blended-professional-certificate-chief-sustainability-officer-cso-eng-admi.html,/images/programs/cxo/cso/home-cxo-chief-sustainability-officer-cso-768x339.webp,/blended-professional-certificate-in-chief-sustainability-officer/,https://professionalprogramsmit.com/en/blended-professional-certificate-chief-sustainability-officer-cso-eng.html,-,
CTO,Chief Technology Officer,,cxo,Blended Professional Certificate,A,25/4/2023,, 12 months ,8-10 hours of effort per week,"US$28,000 *",US$300," Online, In-person and live virtual",42.9,English,en-US,*Last days to sign up!,Last days to enroll,11/4/2023,all_prog best_prog      lead_com tech ,21/3/2023,11/4/2023,25/4/2023,US$300,US$400,US$500,https://meetings.hubspot.com/marketing-ga/mpe-cxo-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/3e62d5ce-1244-4e29-8cdf-d36a0a542b23,https://professionalprogramsmit.com/en/blended-professional-certificate-chief-technology-officer-cto-eng-admi.html,/images/programs/cxo/cto/homer-cxo-chief-technology-officer-cto-768x339.webp,/blended-professional-certificate-in-chief-technology-officer/,https://professionalprogramsmit.com/en/blended-professional-certificate-chief-technology-officer-cto-eng.html,-,
COD-GA,CERTIFICATES,,,,,,,,,,,,,,,,,,        ,,,,,,,,,,,,,,
CDT,Digital Transformation,,pcp,Professional Certificate,A,25/4/2023,,9 months,8-10 hours of effort per week,"US$13,400 *",US$150,Online,31.6,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog   digi_tra  inno  tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-cdt-eng ,https://cta-redirect.hubspot.com/cta/redirect/3391024/888447a2-26d5-435c-827b-976afbc948d2,https://professionalprogramsmit.com/en/begin-the-admissions-process-professional-certificate.html,/images/programs/pcp/cdt/home-pcp-digital-transformation-cdt-768x339.webp,/professional-certificate-in-digital-transformation/,https://professionalprogramsmit.com/en/professional-certificate-program-in-digital-transformation-cdt-eng.html,-,
CDI,Industry 4.0,,pcp,Professional Certificate,A,6/7/2023,,12 months,8-10 hours of effort per week,"US$13,400 *",US$150,Online,36.6,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,5/4/2023,all_prog   des_man      ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-cdi-eng ,https://cta-redirect.hubspot.com/cta/redirect/3391024/acef6706-1dbd-4a9e-8a40-6d172e3597a2,https://professionalprogramsmit.com/en/begin-the-admissions-process-professional-certificate.html,/images/programs/pcp/cdi/home-pcp-industry-4-0-cdi-768x339.webp,/professional-certificate-program-in-industry/,https://professionalprogramsmit.com/en/professional-certificate-program-in-industry-cdi-eng.html,-,
CLI,Innovation,,pcp,Professional Certificate,PP,,,10 months,8-10 hours of effort per week,"US$13,400 *",US$150,Online,30.4,English,en-US,,,5/4/2023,all_prog      inno lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-cin-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/0fde830b-3b35-4f26-9426-29d4b9fc13b0,https://professionalprogramsmit.com/en/begin-the-admissions-process-professional-certificate.html,/images/programs/pcp/cli/home-pcp-innovation-cli-768x339.webp,/professional-certificate-in-innovation/,,-,
CLT,Legal Tech in the Digital Era,,pcp,Professional Certificate,A,3/10/2023,,13 months,8-10 hours of effort per week,"US$17,400 *",US$150,Online,21.6,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,5/4/2023,all_prog    digi_tra   lead_com tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-clt-esp,https://cta-redirect.hubspot.com/cta/redirect/3391024/48fae242-5c69-4f41-9bf3-0427ab64730b,https://professionalprogramsmit.com/en/begin-the-admissions-process-professional-certificate.html,/images/programs/pcp/clt/home-pcp-legal-tech-in-the-digital-era-clt-768x339.webp,/professional-certificate-in-legal-tech-in-the-digital-era/,https://professionalprogramsmit.com/en/professional-certificate-program-in-legal-tech-clt-eng.html,-,
